check_id,research_key,state,jurisdiction_level,query,checked_on,transport,result_rank,result_url,result_title,result_snippet,search_evidence_sha256,content_sha256,content_status,notes
fc.20260715.ct.county_structure,coverage.ct.county,CT,county,site:ct.gov Connecticut counties no county government regional councils of governments,2026-07-15,firecrawl_search,3,https://portal.ct.gov/-/media/OPM/IGPP/ORG/County-Equivalency/FAQ-for-CT-County-Equivalency-12-14-2020.pdf,Census Bureau County Equivalency Status For ...,No. Connecticut dissolved county government in 1960. The proposal will not change this nor establish new regional authorities. The proposal does ...,1a6b5e911efece6fffed080206f9abb4a257ff7a12d4d8a328e8f118215e7477,865a43f410a8f9e275695f559aeece563a3af802a2291362ea6eb9ee5b2ed386,scraped,Official structural exception selected from ten Firecrawl results and scraped successfully
fc.20260715.id.county,id.ada_county.procurement,ID,county,site:adacounty.id.gov procurement bids RFP Ada County Idaho,2026-07-15,firecrawl_search,1,https://adacounty.id.gov/procurement/suppliers/,Suppliers - Ada County Procurement,"All of our Bids, RFPs and other solicitations are posted on an e-Procurement platform called Bonfire. This will provide the opportunity for Ada County to have ...",158bb2a0fb9fdb5bdd8b68262366c672e8cae6c5376075010a3ae90a7a04bdc7,efde132fb4e401be540d1e9b99808a251373c8ff0258a08b6153d736c5a439c9,scraped,Selected from eight Firecrawl results and official page scraped successfully
fc.20260715.mi.district,mi.troy_schools.purchasing,MI,school_district,site:k12.mi.us school district procurement bids RFP Michigan,2026-07-15,firecrawl_search,1,https://www.troy.k12.mi.us/departments/business-services/purchasingbids,Purchasing/Bids,Troy School District is beginning to use Beacon Bid to share solicitations with suppliers. Click on any solicitation and fill out the free form on Beacon. ...,8690fe47099fa2a0d7ca850efb2a85f935dcaebd3583d2557384aaf763c730e7,fd57ea44558d958a4c772d1d9a7bf1e1ca028343cf34302d0b7aaa5eb4275f4c,scraped,Selected from eight Firecrawl results and official page scraped successfully
fc.20260715.tx.district,tx.houston_isd.purchasing,TX,school_district,site:houstonisd.org procurement bids RFP Houston ISD,2026-07-15,firecrawl_search,1,https://www.houstonisd.org/community-partnerships/purchasing-services,Purchasing Services - Houston Independent School ...,Procurement documents are available exclusively through HISD's electronic bidding portal. All proposals must be submitted electronically through the portal by ...,77cc7d23493d2992b2bef41808ffb92c897a5447e506a6b59b8236da2b6d262d,c9ed6869bff32c118b82fc0fe1e2ed2aea2425464479732133d34d1366669fc3,scraped,Selected from two Firecrawl results and official page scraped successfully
fc.20260715.wa.district,wa.seattle_schools.solicitations,WA,school_district,site:seattleschools.org procurement bids RFP Seattle Public Schools,2026-07-15,firecrawl_search,1,https://www.seattleschools.org/departments/procurement/current-solicitations/,Current Solicitations,Solicitation documents are available online. The is the primary platform for SPS bid postings and vendor submissions. Contact them at 267-225-1407 or help@ ...,0f98f949a28071f8c3a0117db53d0872f5109737d7b27a9cac39c44fb25cb8ad,89da99fdb3ca0fe9f70897ef85898de6b4ae8e1bc4c80fe58a9198c5e8e10948,scraped,Selected from eight Firecrawl results and official page scraped successfully
fc.20260715.platform.beacon,platform.beacon_bid,,portal_family,Beacon Bid procurement platform free bidders government official,2026-07-15,firecrawl_search,1,https://www.beaconbid.com/,Beacon Bid | E-Procurement Software Connecting Buyers and Suppliers,Beacon is the only platform to offer a truly free e-procurement platform for both agencies and suppliers. almost every need of public sector agencies.,d3673c09c5ff6271b38741f28af1867b11424c2c50e0664c7b37823026e45bbd,c15f873f67af24016bd80e9ab80682727dd15dedcdf95808b27748e26ed6214a,scraped,Selected from eight Firecrawl results and official platform page scraped successfully
fc.20260715.platform.bid_locker,platform.bid_locker,,portal_family,Bid Locker procurement platform government vendor official,2026-07-15,firecrawl_search,1,https://bidlocker.us/,Bid Locker: Your Nationwide Contract and RFP Platform,Bid Locker is a secure bid submission and e-procurement platform. Bid Locker is used by agencies from coast to coast to publish contracting opportunities.,2cc8cb5f2621e5c15bb1bd90942872415ee710e8d93df7c7f2f74ea773fcb80b,8124a9abb5f1475ce9a8acb2ef4b1684fde8900d92fb7d47f2d05bedfb0bb8a1,scraped,Selected from eight Firecrawl results and official platform page scraped successfully
fc.20260715.ca.los_angeles_county,ca.los_angeles_county.procurement,CA,county,Los Angeles County procurement bids RFP official,2026-07-15,firecrawl_search,2,https://lacounty.gov/business/doing-business-with-la-county/lac-purchasing-and-contract-opportunities/,LA County Purchasing and Contract Opportunities,The County of Los Angeles is consolidating all purchasing and contracting opportunities into a single website. Open Bids & Solicitations,9457f865f19d19caa46e13a41165b1f527ef288fbdd60856da333af2b54b9b7f,75c3194b27df71a407aee5b15d6b037029441938ecc72b69055bb22fc34842b7,scraped,Selected from five Firecrawl results and official page scraped successfully
fc.20260715.mi.oakland_county,mi.oakland_county.solicitations,MI,county,Oakland County Michigan procurement bids RFP official,2026-07-15,firecrawl_search,1,https://www.oakgov.com/government/purchasing/bidder-registration/bid-solicitation-public-search,"Open Bid Solicitations | Oakland County, MI","Oakland County - Open Bid Solicitations | Oakland County, MI. Main: 248-858-1000 Toll Free: 888-350-0900 Contact Us",a178c12f1c501ec54241e8c8f75c16a57ab5364f87186ccd1013ac675efb173e,3120ed81e626917b85dd0aa906466915efc81f351c20b2bbc07659e47bbc4b15,scraped,Selected from five Firecrawl results and official page scraped successfully
fc.20260715.pa.allegheny_county,pa.allegheny_county.solicitations,PA,county,Allegheny County Pennsylvania procurement bids RFP official,2026-07-15,firecrawl_search,1,https://www.alleghenycounty.us/Projects-and-Initiatives/Doing-Business-with-Allegheny-County-Bids-and-Solicitations/Purchasing-Bids-and-Proposals,Purchasing Bids and Proposals,Solicitations for all Purchasing and Supplies bids and proposals are posted on the Bonfire website. Phone: 800-581-9145 or 412-350-4636 (INFO),2a6915aba39e0bf5a2c190b1f1dd86b7b4615163a0c9a4123a7bb0b49f703881,9384afa409c91d5cc8f90bdc691c74f0c540594848fcf7b973bd1799043e19b3,scraped,Selected from five Firecrawl results and official page scraped successfully
fc.20260715.wa.king_county,wa.king_county.procurement,WA,county,King County Washington procurement solicitations bids official,2026-07-15,firecrawl_search,3,https://kingcounty.gov/en/dept/executive-services/about-king-county/business-operations/finance-business-operations/procurement-payables,"Procurement and Payables (P&P) - King County, Washington","All suppliers interested in competing for King County contracts must be registered in King County's E-Procurement Supplier Portal, and all bids and proposals ...",d4ec86374277a6dff3c71421d3ab1138cfa1fca69083849e67fab0539e184191,888f6b08c53a62714150339e6c4a0b28b4079100ca97999a7fe1aebc4b18c3c7,scraped,Selected from five Firecrawl results and official page scraped successfully
fc.20260715.ca.orange_county,ca.orange_county.procurement,CA,county,Orange County California procurement bids RFP official,2026-07-15,firecrawl_search,1,https://cpo.oc.gov/open-bids-county-contracts-portal,Open Bids / County Contracts Portal - Orange County California,"The County of Orange provides bid and proposal solicitation publishing, notification and electronic processing services through an online bidding system.",ba3f2e3bd24fdcfa67e5960b56d8801d87893e3efca626a353ddbcb3d7bd2775,c476afa6bba1faee697aa2181b2ab125fd9ad9435cf46db6b6e769c079d4e76a,scraped,Selected from five Firecrawl results and official page scraped successfully
fc.20260715.ca.lausd,ca.lausd.solicitations,CA,school_district,Los Angeles Unified School District procurement bids RFP official,2026-07-15,firecrawl_search,1,https://procurement.lausd.org/apps/pages/Solicitations,Solicitations - PSD,LAUSD has consolidated all purchasing and contracting opportunities into a single website. RFP R-26040 Flyer. Click to download Current Bids by Date.,41e859b57952e6e78cd7e4656db224628914e7606c79d967effecd08414bcebc,d1d84641148d49da91ee4fdd78adeaf00a537a4c7a8a648c79fb867f2e3b9802,scraped,Selected from five Firecrawl results; selected page scraped successfully
fc.20260715.fl.miami_dade_schools,fl.miami_dade_schools.solicitations,FL,school_district,Miami-Dade County Public Schools procurement bids RFP official,2026-07-15,firecrawl_search,1,https://www.demandstar.com/app/agencies/florida/miami-dade-county-public-schools/procurement-opportunities/f27e1be6-883d-4b92-8fa8-fa0cfcf667b7/,Miami-Dade County Public Schools Procurement - Bids & RFPs | OpenBids,"Miami-Dade County Public Schools , FL is looking to buy goods and services. Discover all bid opportunities, RFPs, and government contracts with Miami-Dade ...",59df6dc61276f928ceec22b7ebda8fe184b8b985efc326f0120c4d16395274fe,74cd98be75eb9b4d4aa1e1df27b30148806067f93ae9309f8adda2296be655fa,scraped,Selected from five Firecrawl results; selected page scraped successfully
